,level_0,index,atilt,code,shifts,range_shift,npeaks
26,26,559,-0.0539780147373676,559kuka_stare_decon_Ku-Scat20231003-132908.nc,42,1.62017333984375,5
27,27,560,-0.0539780147373676,560kuka_stare_decon_Ku-Scat20231003-132908.nc,42,1.62017333984375,3
28,28,561,-0.0539780147373676,561kuka_stare_decon_Ku-Scat20231003-132908.nc,42,1.62017333984375,3
29,29,562,0.386658608913422,562kuka_stare_decon_Ku-Scat20231003-132908.nc,41,1.6125439453125,2
30,30,587,-0.252264320850372,587kuka_stare_decon_Ku-Scat20231003-132908.nc,41,1.6125439453125,3
31,31,588,0.199387982487679,588kuka_stare_decon_Ku-Scat20231003-132908.nc,41,1.6125439453125,3
32,32,589,0.199387982487679,589kuka_stare_decon_Ku-Scat20231003-132908.nc,53,1.7040966796875,2
33,33,590,-0.120073363184929,590kuka_stare_decon_Ku-Scat20231003-132908.nc,41,1.6125439453125,2
34,34,591,-0.120073363184929,591kuka_stare_decon_Ku-Scat20231003-132908.nc,41,1.6125439453125,2
35,35,592,-0.56071001291275,592kuka_stare_decon_Ku-Scat20231003-132908.nc,39,1.59728515625,3
36,36,593,-0.56071001291275,593kuka_stare_decon_Ku-Scat20231003-132908.nc,37,1.5820263671875,1
37,37,594,-0.56071001291275,594kuka_stare_decon_Ku-Scat20231003-132908.nc,37,1.5820263671875,2
38,38,595,-1.13353729248047,595kuka_stare_decon_Ku-Scat20231003-132908.nc,36,1.57439697265625,3
39,39,596,-1.13353729248047,596kuka_stare_decon_Ku-Scat20231003-132908.nc,34,1.55913818359375,1
40,40,597,-0.979314625263214,597kuka_stare_decon_Ku-Scat20231003-132908.nc,33,1.5515087890625,2
41,41,598,-0.979314625263214,598kuka_stare_decon_Ku-Scat20231003-132908.nc,34,1.55913818359375,4
42,42,599,-3.05030608177185,599kuka_stare_decon_Ku-Scat20231003-132908.nc,41,1.6125439453125,3
43,43,600,-3.05030608177185,600kuka_stare_decon_Ku-Scat20231003-132908.nc,37,1.5820263671875,3
44,44,601,-1.36487126350403,601kuka_stare_decon_Ku-Scat20231003-132908.nc,36,1.57439697265625,3
45,45,602,-1.36487126350403,602kuka_stare_decon_Ku-Scat20231003-132908.nc,37,1.5820263671875,3
46,46,603,-0.0980415791273117,603kuka_stare_decon_Ku-Scat20231003-132908.nc,37,1.5820263671875,2
47,47,604,-0.0980415791273117,604kuka_stare_decon_Ku-Scat20231003-132908.nc,37,1.5820263671875,3
48,48,605,-0.0980415791273117,605kuka_stare_decon_Ku-Scat20231003-132908.nc,36,1.57439697265625,2
49,49,606,-1.13353729248047,606kuka_stare_decon_Ku-Scat20231003-132908.nc,37,1.5820263671875,2
50,50,607,-1.13353729248047,607kuka_stare_decon_Ku-Scat20231003-132908.nc,36,1.57439697265625,3
51,51,608,-0.990330517292023,608kuka_stare_decon_Ku-Scat20231003-132908.nc,37,1.5820263671875,3
52,52,609,-0.990330517292023,609kuka_stare_decon_Ku-Scat20231003-132908.nc,37,1.5820263671875,3
53,53,610,0.287515342235565,610kuka_stare_decon_Ku-Scat20231003-132908.nc,36,1.57439697265625,3
54,54,611,0.287515342235565,611kuka_stare_decon_Ku-Scat20231003-132908.nc,38,1.58965576171875,3
55,55,612,-1.00134634971619,612kuka_stare_decon_Ku-Scat20231003-132908.nc,42,1.62017333984375,2
56,56,638,-0.318359911441803,638kuka_stare_decon_Ku-Scat20231003-132908.nc,36,1.57439697265625,4
57,57,639,-0.825091898441315,639kuka_stare_decon_Ku-Scat20231003-132908.nc,36,1.57439697265625,2
58,58,640,-0.825091898441315,640kuka_stare_decon_Ku-Scat20231003-132908.nc,37,1.5820263671875,3
59,59,641,-1.70636487007141,641kuka_stare_decon_Ku-Scat20231003-132908.nc,37,1.5820263671875,3
60,60,642,-1.70636487007141,642kuka_stare_decon_Ku-Scat20231003-132908.nc,39,1.59728515625,2
61,61,643,-1.99277853965759,643kuka_stare_decon_Ku-Scat20231003-132908.nc,41,1.6125439453125,3
62,62,23,0.496817529201508,23kuka_stare_decon_Ku-Scat20231003-133409.nc,40,1.60491455078125,3
63,63,24,0.496817529201508,24kuka_stare_decon_Ku-Scat20231003-133409.nc,45,1.6430615234375,2
64,64,25,-0.00991420727223158,25kuka_stare_decon_Ku-Scat20231003-133409.nc,39,1.59728515625,4
65,65,26,-0.00991420727223158,26kuka_stare_decon_Ku-Scat20231003-133409.nc,41,1.6125439453125,3
66,66,27,-0.00991420727223158,27kuka_stare_decon_Ku-Scat20231003-133409.nc,40,1.60491455078125,3
67,67,28,0.651040494441986,28kuka_stare_decon_Ku-Scat20231003-133409.nc,37,1.5820263671875,3
68,68,29,0.651040494441986,29kuka_stare_decon_Ku-Scat20231003-133409.nc,35,1.566767578125,4
69,69,30,-0.703916847705841,30kuka_stare_decon_Ku-Scat20231003-133409.nc,37,1.5820263671875,3
70,70,31,-0.703916847705841,31kuka_stare_decon_Ku-Scat20231003-133409.nc,37,1.5820263671875,4
71,71,32,0.0341493599116802,32kuka_stare_decon_Ku-Scat20231003-133409.nc,37,1.5820263671875,4
72,72,33,0.0341493599116802,33kuka_stare_decon_Ku-Scat20231003-133409.nc,36,1.57439697265625,4
73,73,34,-0.406487047672272,34kuka_stare_decon_Ku-Scat20231003-133409.nc,40,1.60491455078125,4
74,74,35,-0.406487047672272,35kuka_stare_decon_Ku-Scat20231003-133409.nc,37,1.5820263671875,2
75,75,36,-0.946266949176788,36kuka_stare_decon_Ku-Scat20231003-133409.nc,37,1.5820263671875,5
76,76,37,-0.946266949176788,37kuka_stare_decon_Ku-Scat20231003-133409.nc,39,1.59728515625,2
77,77,38,-0.538677990436554,38kuka_stare_decon_Ku-Scat20231003-133409.nc,32,1.54387939453125,5
78,78,67,-2.36731934547424,67kuka_stare_decon_Ku-Scat20231003-133409.nc,32,1.54387939453125,3
79,79,68,-2.36731934547424,68kuka_stare_decon_Ku-Scat20231003-133409.nc,51,1.688837890625,2
80,80,69,-3.84345173835754,69kuka_stare_decon_Ku-Scat20231003-133409.nc,34,1.55913818359375,3
81,81,70,-3.84345173835754,70kuka_stare_decon_Ku-Scat20231003-133409.nc,34,1.55913818359375,4
82,82,71,-3.13843321800232,71kuka_stare_decon_Ku-Scat20231003-133409.nc,35,1.566767578125,5
83,83,72,-3.13843321800232,72kuka_stare_decon_Ku-Scat20231003-133409.nc,35,1.566767578125,2
84,84,73,-1.97074675559998,73kuka_stare_decon_Ku-Scat20231003-133409.nc,35,1.566767578125,2
85,85,74,-1.97074675559998,74kuka_stare_decon_Ku-Scat20231003-133409.nc,34,1.55913818359375,2
86,86,75,-1.19963264465332,75kuka_stare_decon_Ku-Scat20231003-133409.nc,34,1.55913818359375,2
87,87,76,-1.19963264465332,76kuka_stare_decon_Ku-Scat20231003-133409.nc,36,1.57439697265625,3
88,88,77,-1.19963264465332,77kuka_stare_decon_Ku-Scat20231003-133409.nc,36,1.57439697265625,4
89,89,78,-2.69779658317566,78kuka_stare_decon_Ku-Scat20231003-133409.nc,36,1.57439697265625,3
90,90,79,-2.69779658317566,79kuka_stare_decon_Ku-Scat20231003-133409.nc,35,1.566767578125,6
91,91,80,-1.34283947944641,80kuka_stare_decon_Ku-Scat20231003-133409.nc,35,1.566767578125,4
92,92,81,-1.34283947944641,81kuka_stare_decon_Ku-Scat20231003-133409.nc,35,1.566767578125,5
93,93,109,0.386658608913422,109kuka_stare_decon_Ku-Scat20231003-133409.nc,34,1.55913818359375,5
94,94,110,0.386658608913422,110kuka_stare_decon_Ku-Scat20231003-133409.nc,34,1.55913818359375,5
95,95,112,0.210403874516487,112kuka_stare_decon_Ku-Scat20231003-133409.nc,35,1.566767578125,4
96,96,113,0.375642478466034,113kuka_stare_decon_Ku-Scat20231003-133409.nc,36,1.57439697265625,5
97,97,114,0.375642478466034,114kuka_stare_decon_Ku-Scat20231003-133409.nc,35,1.566767578125,5
98,98,115,1.22386789321899,115kuka_stare_decon_Ku-Scat20231003-133409.nc,35,1.566767578125,4
99,99,116,1.22386789321899,116kuka_stare_decon_Ku-Scat20231003-133409.nc,37,1.5820263671875,4
100,100,117,0.47478574514389,117kuka_stare_decon_Ku-Scat20231003-133409.nc,37,1.5820263671875,4
101,101,118,0.47478574514389,118kuka_stare_decon_Ku-Scat20231003-133409.nc,37,1.5820263671875,3
102,102,119,0.915422260761261,119kuka_stare_decon_Ku-Scat20231003-133409.nc,36,1.57439697265625,5
103,103,120,0.915422260761261,120kuka_stare_decon_Ku-Scat20231003-133409.nc,36,1.57439697265625,3
104,104,121,-0.406487047672272,121kuka_stare_decon_Ku-Scat20231003-133409.nc,35,1.566767578125,4
105,105,154,-0.516646206378937,154kuka_stare_decon_Ku-Scat20231003-133409.nc,35,1.566767578125,3
106,106,155,-0.516646206378937,155kuka_stare_decon_Ku-Scat20231003-133409.nc,34,1.55913818359375,4
107,107,156,-0.516646206378937,156kuka_stare_decon_Ku-Scat20231003-133409.nc,35,1.566767578125,2
108,108,157,-2.02582621574402,157kuka_stare_decon_Ku-Scat20231003-133409.nc,34,1.55913818359375,5
109,109,158,-2.02582621574402,158kuka_stare_decon_Ku-Scat20231003-133409.nc,35,1.566767578125,3
110,110,159,-0.120073363184929,159kuka_stare_decon_Ku-Scat20231003-133409.nc,36,1.57439697265625,4
111,111,160,-0.120073363184929,160kuka_stare_decon_Ku-Scat20231003-133409.nc,35,1.566767578125,4
112,112,161,-1.68433308601379,161kuka_stare_decon_Ku-Scat20231003-133409.nc,35,1.566767578125,4
113,113,162,-1.68433308601379,162kuka_stare_decon_Ku-Scat20231003-133409.nc,35,1.566767578125,5
114,114,163,0.199387982487679,163kuka_stare_decon_Ku-Scat20231003-133409.nc,35,1.566767578125,3
